"Отметка времени","Отношение к людям ","Отношение к шумным компаниям","Отношение к работе","Сон","Активность","Отношение к дороге","Многозадачность","Стресс","Отношение к делам","Планирование","Мотивация","Хобби",""
"2022/09/03 10:21:10 PM GMT+9","6","8","7","3","7","7","9","1","8","10","5","8",""
"2022/09/03 10:22:25 PM GMT+9","2","3","9","4","5","8","8","6","6","9","8","6",""
"2022/09/03 10:27:58 PM GMT+9","5","2","7","3","5","5","2","2","9","3","3","1",""
"2022/09/03 10:31:22 PM GMT+9","4","6","10","3","3","8","3","4","8","3","7","7",""
"2022/09/03 10:35:25 PM GMT+9","6","4","8","7","6","2","10","3","9","6","6","6",""
"2022/09/03 10:42:17 PM GMT+9","7","5","5","4","4","5","7","4","4","3","7","2",""
"2022/09/03 10:45:07 PM GMT+9","4","3","5","7","3","2","3","3","4","2","5","4",""
"2022/09/03 10:46:53 PM GMT+9","4","7","8","9","5","5","7","8","8","9","7","3",""
"2022/09/03 10:48:55 PM GMT+9","6","8","3","4","5","3","9","2","8","3","9","2",""
"2022/09/03 10:50:47 PM GMT+9","5","3","3","4","5","10","7","8","5","9","5","6",""
"2022/09/03 10:52:17 PM GMT+9","10","7","8","5","8","9","7","8","9","5","8","5",""
"2022/09/03 10:54:25 PM GMT+9","5","4","8","5","6","3","7","3","4","6","7","8",""
"2022/09/03 10:55:46 PM GMT+9","2","1","5","7","5","10","3","6","4","5","2","9",""
"2022/09/03 10:56:10 PM GMT+9","5","5","8","7","5","6","7","7","7","5","8","9",""
"2022/09/03 11:01:42 PM GMT+9","2","5","7","3","8","8","8","7","9","8","8","8",""
"2022/09/03 11:05:31 PM GMT+9","2","10","10","10","5","10","7","6","9","10","7","7",""
"2022/09/03 11:10:28 PM GMT+9","1","3","5","3","6","5","4","1","5","4","2","8",""
"2022/09/03 11:22:21 PM GMT+9","3","4","7","4","2","5","2","5","9","6","5","6",""
"2022/09/03 11:30:24 PM GMT+9","10","6","9","4","7","7","6","6","8","9","8","6",""
"2022/09/03 11:34:25 PM GMT+9","5","4","6","7","1","10","10","7","6","6","7","5",""
"2022/09/03 11:55:04 PM GMT+9","3","4","7","4","3","10","5","3","6","5","1","3",""
"2022/09/03 11:58:53 PM GMT+9","5","3","7","3","4","10","5","4","9","5","3","8",""
"2022/09/04 12:20:36 AM GMT+9","2","4","7","3","5","5","4","9","5","7","3","8",""
"2022/09/04 12:50:07 AM GMT+9","9","10","10","7","6","6","6","9","4","3","1","8",""
"2022/09/04 1:00:27 AM GMT+9","2","3","8","2","2","2","5","4","8","2","4","7",""
"2022/09/04 2:14:16 AM GMT+9","4","3","9","9","10","9","9","10","10","4","10","10",""
"2022/09/04 2:20:34 AM GMT+9","7","6","9","3","5","9","7","7","8","8","6","3",""
"2022/09/04 2:20:51 AM GMT+9","6","5","7","3","5","4","6","4","7","6","5","9",""
"2022/09/04 2:23:26 AM GMT+9","4","4","9","7","5","8","6","7","6","6","4","8",""
"2022/09/04 3:07:07 AM GMT+9","9","4","10","3","8","7","6","6","7","8","6","6",""
"2022/09/04 4:27:54 AM GMT+9","3","2","9","5","3","9","1","3","4","2","3","3",""
"2022/09/04 4:35:33 AM GMT+9","3","4","8","4","4","1","9","9","8","7","4","7",""
"2022/09/04 5:45:00 AM GMT+9","3","5","6","3","2","10","9","3","5","6","4","8",""
"2022/09/04 7:00:15 AM GMT+9","1","1","4","3","2","2","3","3","4","5","2","1",""
"2022/09/04 11:50:58 AM GMT+9","8","7","8","5","4","5","4","4","7","5","4","5",""
